K;Detector;Descriptor;Matching;Matcher;Keypoint1;Keypoint2;Descriptor1;Descriptor2;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;0.0;4.0;0.0;114.0;114.0;114.0;114.0;114.0;114.0;100.0;0.052963972091674805;0.04657459259033203;0.004416465759277344
0.0;0.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;3.0;4.0;0.0;114.0;114.0;110.0;110.0;89.0;89.0;100.0;0.052963972091674805;0.0018782615661621094;0.004808187484741211
0.0;0.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;5.0;4.0;0.0;114.0;114.0;114.0;114.0;93.0;93.0;100.0;0.052963972091674805;0.05053114891052246;0.004728555679321289
0.0;0.0;6.0;4.0;0.0;114.0;114.0;67.0;67.0;52.0;52.0;100.0;0.052963972091674805;0.0006885528564453125;0.003284931182861328
0.0;0.0;7.0;4.0;0.0;114.0;114.0;102.0;102.0;102.0;102.0;100.0;0.052963972091674805;0.0004143714904785156;0.0032880306243896484
0.0;0.0;8.0;4.0;0.0;114.0;114.0;114.0;114.0;92.0;92.0;100.0;0.052963972091674805;0.0014681816101074219;0.0035829544067382812
0.0;0.0;9.0;4.0;0.0;114.0;114.0;103.0;103.0;103.0;103.0;100.0;0.052963972091674805;0.00031495094299316406;0.0032196044921875
0.0;0.0;10.0;4.0;0.0;114.0;114.0;114.0;114.0;114.0;114.0;100.0;0.052963972091674805;0.01056051254272461;0.0035562515258789062
0.0;0.0;11.0;4.0;0.0;3720.0;3720.0;3720.0;3720.0;3720.0;3720.0;100.0;0.05884838104248047;0.002696990966796875;0.06580233573913574
0.0;0.0;12.0;4.0;0.0;114.0;114.0;114.0;114.0;114.0;114.0;100.0;0.052963972091674805;0.00044465065002441406;0.0033681392669677734
0.0;0.0;13.0;4.0;0.0;114.0;114.0;114.0;114.0;114.0;114.0;100.0;0.052963972091674805;0.0034215450286865234;0.003434419631958008
0.0;1.0;0.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;3.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;5.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;6.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;7.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;8.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;9.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;10.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;11.0;4.0;0.0;896.0;896.0;896.0;896.0;896.0;896.0;100.0;0.04515480995178223;0.0009095668792724609;0.010094642639160156
0.0;1.0;12.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;13.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;0.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.019000768661499023;0.003261566162109375
0.0;2.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;2.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.005369424819946289;0.0032935142517089844
0.0;2.0;3.0;4.0;0.0;46.0;46.0;27.0;27.0;27.0;27.0;100.0;0.002277851104736328;0.0007848739624023438;0.003208160400390625
0.0;2.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;5.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.05068182945251465;0.003290891647338867
0.0;2.0;6.0;4.0;0.0;46.0;46.0;44.0;44.0;44.0;44.0;100.0;0.002277851104736328;0.0006363391876220703;0.003256082534790039
0.0;2.0;7.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.00028228759765625;0.0028922557830810547
0.0;2.0;8.0;4.0;0.0;46.0;46.0;46.0;46.0;44.0;44.0;100.0;0.002277851104736328;0.0011935234069824219;0.0030243396759033203
0.0;2.0;9.0;4.0;0.0;46.0;46.0;46.0;46.0;44.0;44.0;100.0;0.002277851104736328;0.0003185272216796875;0.0033447742462158203
0.0;2.0;10.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.007308483123779297;0.003171205520629883
0.0;2.0;11.0;4.0;0.0;9492.0;9492.0;9492.0;9492.0;9492.0;9492.0;100.0;0.010525941848754883;0.008115768432617188;0.3436613082885742
0.0;2.0;12.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.0004456043243408203;0.0031147003173828125
0.0;2.0;13.0;4.0;0.0;46.0;46.0;46.0;46.0;46.0;46.0;100.0;0.002277851104736328;0.0011708736419677734;0.003120899200439453
0.0;3.0;0.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2241.0;2241.0;100.0;0.027730941772460938;0.027890443801879883;0.023215293884277344
0.0;3.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;3.0;2.0;4.0;0.0;2241.0;2241.0;1781.0;1781.0;1780.0;1780.0;100.0;0.027730941772460938;0.007743120193481445;0.017979145050048828
0.0;3.0;3.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2239.0;2239.0;100.0;0.027730941772460938;0.018230438232421875;0.03382277488708496
0.0;3.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;3.0;5.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2240.0;2240.0;100.0;0.027730941772460938;0.05602073669433594;0.02951979637145996
0.0;3.0;6.0;4.0;0.0;2241.0;2241.0;1683.0;1683.0;1680.0;1680.0;100.0;0.027730941772460938;0.00918722152709961;0.026623010635375977
0.0;3.0;7.0;4.0;0.0;2241.0;2241.0;2189.0;2189.0;2171.0;2171.0;100.0;0.027730941772460938;0.004299163818359375;0.017215251922607422
0.0;3.0;8.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2125.0;2125.0;100.0;0.027730941772460938;0.008068084716796875;0.05562996864318848
0.0;3.0;9.0;4.0;0.0;2241.0;2241.0;2216.0;2216.0;2124.0;2124.0;100.0;0.027730941772460938;0.0022106170654296875;0.014056205749511719
0.0;3.0;10.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2234.0;2234.0;100.0;0.027730941772460938;0.12900042533874512;0.019025564193725586
0.0;3.0;11.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2239.0;2239.0;100.0;0.0269012451171875;0.002908468246459961;0.034186363220214844
0.0;3.0;12.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2239.0;2239.0;100.0;0.027730941772460938;0.001260519027709961;0.022815704345703125
0.0;3.0;13.0;4.0;0.0;2241.0;2241.0;2241.0;2241.0;2239.0;2239.0;100.0;0.027730941772460938;0.02406001091003418;0.02036905288696289
0.0;4.0;0.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;3.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;5.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;6.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;7.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;8.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;9.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;10.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;11.0;4.0;0.0;54.0;54.0;54.0;54.0;54.0;54.0;100.0;0.19539618492126465;0.0004115104675292969;0.003347635269165039
0.0;4.0;12.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;13.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;5.0;0.0;4.0;0.0;1590.0;1590.0;1590.0;1590.0;1590.0;1590.0;100.0;0.0026922225952148438;0.01601886749267578;0.01578235626220703
0.0;5.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;5.0;2.0;4.0;0.0;1590.0;1590.0;1036.0;1036.0;1036.0;1036.0;100.0;0.0026922225952148438;0.0029172897338867188;0.010444164276123047
0.0;5.0;3.0;4.0;0.0;1590.0;1590.0;1489.0;1489.0;1489.0;1489.0;100.0;0.0026922225952148438;0.011804342269897461;0.023272991180419922
0.0;5.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;5.0;5.0;4.0;0.0;1590.0;1590.0;1590.0;1590.0;1590.0;1590.0;100.0;0.0026922225952148438;0.05510425567626953;0.02091193199157715
0.0;5.0;6.0;4.0;0.0;1590.0;1590.0;957.0;957.0;957.0;957.0;100.0;0.0026922225952148438;0.004847288131713867;0.01280522346496582
0.0;5.0;7.0;4.0;0.0;1590.0;1590.0;1350.0;1350.0;1350.0;1350.0;100.0;0.0026922225952148438;0.0027480125427246094;0.01114034652709961
0.0;5.0;8.0;4.0;0.0;1590.0;1590.0;1590.0;1590.0;1590.0;1590.0;100.0;0.0026922225952148438;0.005713224411010742;0.03561592102050781
0.0;5.0;9.0;4.0;0.0;1590.0;1590.0;1384.0;1384.0;1355.0;1355.0;100.0;0.0026922225952148438;0.0014934539794921875;0.009928703308105469
0.0;5.0;10.0;4.0;0.0;1590.0;1590.0;1590.0;1590.0;1590.0;1590.0;100.0;0.0026922225952148438;0.09160399436950684;0.013168096542358398
