K;Detector;Descriptor;Matching;Matcher;Keypoint1;Keypoint2;Descriptor1;Descriptor2;Inliers;Total Matches;Match Rate;Detect time;Descript time;Match time
0.0;0.0;0.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;2001.0;2001.0;100.0;0.10556578636169434;0.1039896011352539;0.024545907974243164
0.0;0.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;3.0;4.0;0.0;2001.0;2001.0;1893.0;1893.0;1503.0;1503.0;100.0;0.10556578636169434;0.01631641387939453;0.031157970428466797
0.0;0.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;0.0;5.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;1588.0;1588.0;100.0;0.10556578636169434;0.10750842094421387;0.027856826782226562
0.0;0.0;6.0;4.0;0.0;2001.0;2001.0;1539.0;1539.0;1214.0;1214.0;100.0;0.10556578636169434;0.008899211883544922;0.022344589233398438
0.0;0.0;7.0;4.0;0.0;2001.0;2001.0;1822.0;1822.0;1821.0;1821.0;100.0;0.10556578636169434;0.004345893859863281;0.016403913497924805
0.0;0.0;8.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;1585.0;1585.0;100.0;0.10556578636169434;0.007973909378051758;0.04854106903076172
0.0;0.0;9.0;4.0;0.0;2001.0;2001.0;1842.0;1842.0;1811.0;1811.0;100.0;0.10556578636169434;0.002195596694946289;0.013724803924560547
0.0;0.0;10.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;2001.0;2001.0;100.0;0.10556578636169434;0.11542415618896484;0.018273115158081055
0.0;0.0;11.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;2001.0;2001.0;100.0;0.10556578636169434;0.0020160675048828125;0.03150033950805664
0.0;0.0;12.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;2001.0;2001.0;100.0;0.10556578636169434;0.0013897418975830078;0.021898746490478516
0.0;0.0;13.0;4.0;0.0;2001.0;2001.0;2001.0;2001.0;2001.0;2001.0;100.0;0.10556578636169434;0.02178168296813965;0.019129276275634766
0.0;1.0;0.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;3.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;5.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;6.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;7.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;8.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;9.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;10.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;11.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;12.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;1.0;13.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;0.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1755.0;1755.0;100.0;0.007874488830566406;0.12729144096374512;0.02353835105895996
0.0;2.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;2.0;4.0;0.0;1755.0;1755.0;1749.0;1749.0;1749.0;1749.0;100.0;0.007874488830566406;0.010699272155761719;0.02153754234313965
0.0;2.0;3.0;4.0;0.0;1755.0;1755.0;1530.0;1530.0;1530.0;1530.0;100.0;0.007874488830566406;0.015465497970581055;0.02531599998474121
0.0;2.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;2.0;5.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1751.0;1751.0;100.0;0.007874488830566406;0.1033637523651123;0.023533105850219727
0.0;2.0;6.0;4.0;0.0;1755.0;1755.0;1727.0;1727.0;1718.0;1718.0;100.0;0.007874488830566406;0.009630680084228516;0.02702188491821289
0.0;2.0;7.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1738.0;1738.0;100.0;0.007874488830566406;0.004471540451049805;0.01612544059753418
0.0;2.0;8.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1354.0;1354.0;100.0;0.007874488830566406;0.007535457611083984;0.04136466979980469
0.0;2.0;9.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1691.0;1691.0;100.0;0.007874488830566406;0.0020630359649658203;0.013314485549926758
0.0;2.0;10.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;903.0;903.0;100.0;0.007874488830566406;0.10794830322265625;0.012476205825805664
0.0;2.0;11.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1755.0;1755.0;100.0;0.007874488830566406;0.0025959014892578125;0.025877952575683594
0.0;2.0;12.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1755.0;1755.0;100.0;0.007874488830566406;0.0019638538360595703;0.019231557846069336
0.0;2.0;13.0;4.0;0.0;1755.0;1755.0;1755.0;1755.0;1755.0;1755.0;100.0;0.007874488830566406;0.019201993942260742;0.017230510711669922
0.0;3.0;0.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21990.0;21990.0;100.0;0.21467900276184082;0.14972591400146484;0.9182174205780029
0.0;3.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;3.0;2.0;4.0;0.0;21990.0;21990.0;19431.0;19431.0;19428.0;19428.0;100.0;0.21467900276184082;0.03673958778381348;0.7498602867126465
0.0;3.0;3.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21976.0;21976.0;100.0;0.21467900276184082;0.17317652702331543;1.7363712787628174
0.0;3.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;3.0;5.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21987.0;21987.0;100.0;0.21467900276184082;0.17176485061645508;1.4901583194732666
0.0;3.0;6.0;4.0;0.0;21990.0;21990.0;18782.0;18782.0;18760.0;18760.0;100.0;0.21467900276184082;0.1056375503540039;1.2786381244659424
0.0;3.0;7.0;4.0;0.0;21990.0;21990.0;21559.0;21559.0;21497.0;21497.0;100.0;0.21467900276184082;0.03918862342834473;0.5257422924041748
0.0;3.0;8.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;20792.0;20792.0;100.0;0.21467900276184082;0.0697941780090332;3.826810359954834
0.0;3.0;9.0;4.0;0.0;21990.0;21990.0;21720.0;21720.0;18115.0;18115.0;100.0;0.21467900276184082;0.01711273193359375;0.19292449951171875
0.0;3.0;10.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21624.0;21624.0;100.0;0.21467900276184082;1.2403759956359863;0.6547620296478271
0.0;3.0;11.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21978.0;21978.0;100.0;0.21467900276184082;0.01407003402709961;2.3543684482574463
0.0;3.0;12.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21977.0;21977.0;100.0;0.21467900276184082;0.006794929504394531;0.9320499897003174
0.0;3.0;13.0;4.0;0.0;21990.0;21990.0;21990.0;21990.0;21980.0;21980.0;100.0;0.21467900276184082;0.23319363594055176;0.9532854557037354
0.0;4.0;0.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;2.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;3.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;5.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;6.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;7.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;8.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;9.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;10.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;11.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;12.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;4.0;13.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;5.0;0.0;4.0;0.0;24559.0;24559.0;24559.0;24559.0;24559.0;24559.0;100.0;0.007454395294189453;0.0751650333404541;1.1509032249450684
0.0;5.0;1.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0.0;5.0;2.0;4.0;0.0;24559.0;24559.0;20288.0;20288.0;20288.0;20288.0;100.0;0.007454395294189453;0.029364585876464844;0.8091006278991699
0.0;5.0;3.0;4.0;0.0;24559.0;24559.0;23767.0;23767.0;23767.0;23767.0;100.0;0.007454395294189453;0.18584513664245605;2.0227694511413574
0.0;5.0;4.0;4.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
